"","X1","id","price","type","sqfeet","beds","baths","cats_allowed","dogs_allowed","smoking_allowed","wheelchair_access","comes_furnished","state","State Name","MedianIncome","Governor","Pop","LandArea(sqmi)","PopDensity","TaxRate","DeathPenalty","PctWhite","PctBlack"
"1",180210,7045074177,767,"apartment",507,0,1,1,0,1,0,0,"ma","Massachusetts",79835,"R",6892503,10554,653.0702,1.21,0,71.5,7
"2",51477,7044877904,2619,"apartment",1267,3,2,1,1,1,0,0,"ca","California",75277,"D",39512223,163695,241.3770915,0.77,1,37,5.5
"3",235140,7051011942,1280,"apartment",1150,2,2,1,1,1,0,0,"nv","Nevada",58646,"D",3080156,110572,27.85656,0.64,1,48.8,8.9
"4",195112,7033584386,1358,"apartment",1121,2,1.5,1,1,0,0,0,"mi","Michigan",56697,"D",9986857,96714,103.2618,1.52,0,75,13.6
"5",181712,7022838480,1875,"apartment",985,2,2,1,1,1,0,0,"ma","Massachusetts",79835,"R",6892503,10554,653.0702,1.21,0,71.5,7
"6",314597,7032398166,905,"apartment",1360,3,2.5,1,1,1,0,0,"tn","Tennessee",52375,"R",6708799,42144,159.1875,0.54,1,73.9,16.6
"7",93712,7044811460,1660,"apartment",1385,3,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"8",76634,7032635507,1350,"apartment",1144,3,2,0,0,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"9",85410,7037221280,859,"apartment",1224,3,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"10",242107,7041949587,1480,"apartment",967,1,1,1,1,0,0,0,"nj","New Jersey",81740,"D",8882190,8723,1018.249,2.31,0,54.8,12.8
"11",268304,7049232875,1125,"apartment",676,1,1,1,1,0,0,0,"oh","Ohio",56111,"R",11659650,44826,260.1091,1.68,1,78.9,12.2
"12",346970,7046022468,810,"apartment",660,1,1,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"13",169399,7048930835,1400,"apartment",480,1,1,1,1,0,1,0,"me","Maine",55602,"D",1344212,35380,37.99356,1.43,0,93.4,1.2
"14",67981,7035077842,985,"apartment",400,0,1,1,1,1,0,0,"ct","Connecticut",76348,"D",3565287,5543,643.2053,2,0,66.7,9.9
"15",148502,7033583771,825,"apartment",900,2,1,1,1,1,1,0,"ia","Iowa",59995,"R",3155070,56273,56.06721,1.43,0,85.9,3.3
"16",226218,7049261780,907,"apartment",792,1,1,1,1,1,0,0,"nc","North Carolina",53855,"D",10488084,53819,194.877,0.78,1,63,21.2
"17",356490,7050830970,1160,"apartment",1200,2,2,1,1,1,0,0,"ut","Utah",71414,"R",3101042,84897,36.52711,0.65,1,78.3,1.2
"18",46397,7049985434,4845,"apartment",1690,3,2,1,1,0,0,0,"ca","California",75277,"D",39512223,163695,241.3770915,0.77,1,37,5.5
"19",290038,7035430925,1025,"apartment",900,1,1,0,0,1,0,0,"pa","Pennslyvania",60905,"D",12787641,46054,277.6662,1.89,1,76.4,10.7
"20",104347,7036004214,1365,"apartment",1100,2,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"21",339998,7045754628,650,"apartment",400,1,1,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"22",321725,7048455518,1345,"apartment",1330,3,2,1,1,0,0,0,"tn","Tennessee",52375,"R",6708799,42144,159.1875,0.54,1,73.9,16.6
"23",13183,7049702491,1323,"apartment",918,2,2,1,1,1,0,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
"24",246805,7043339734,675,"apartment",650,1,1,0,0,0,0,0,"ny","New York",67844,"D",19453561,54555,356.5862,1.88,0,55.1,14.3
"25",208537,7026950434,840,"apartment",1248,3,2,0,0,1,0,0,"ms","Mississippi",44717,"R",2976149,48432,61.45005,0.86,1,56.6,37.9
"26",278412,7047511201,565,"apartment",650,1,1,0,0,1,0,0,"ok","Oklahoma",51924,"R",3931316,69899,56.24281,0.89,1,65.6,7.2
"27",194386,7035717659,755,"apartment",850,3,2,1,1,0,1,0,"mi","Michigan",56697,"D",9986857,96714,103.2618,1.52,0,75,13.6
